2019-10-02 00:28:37 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 5854 flow
2019-10-02 00:28:40 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 5870 flow
2019-10-02 00:28:49 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 5886 flow
2019-10-02 00:29:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    Timeout current has 5900 flow
2019-10-02 00:29:25 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 5945 flow
2019-10-02 00:29:39 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 5961 flow
2019-10-02 00:29:55 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 5983 flow
2019-10-02 00:29:58 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 5999 flow
2019-10-02 00:30:10 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 6014 flow
2019-10-02 00:30:42 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 6060 flow
2019-10-02 00:30:53 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 6079 flow
2019-10-02 00:31:19 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    Timeout current has 6150 flow
2019-10-02 00:31:28 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 6180 flow
2019-10-02 00:31:28 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 6180 flow
2019-10-02 00:31:34 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 6198 flow
2019-10-02 00:31:34 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    Timeout current has 6200 flow
2019-10-02 00:31:34 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 6200 flow
2019-10-02 00:31:34 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    Timeout current has 6200 flow
2019-10-02 00:32:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 6248 flow
2019-10-02 00:32:09 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 6264 flow
2019-10-02 00:32:14 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 6275 flow
2019-10-02 00:32:41 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 6325 flow
2019-10-02 00:32:44 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 6330 flow
2019-10-02 00:33:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    Timeout current has 6400 flow
2019-10-02 00:34:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 6412 flow
2019-10-02 00:34:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 6422 flow
2019-10-02 00:34:10 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 6441 flow
2019-10-02 00:34:15 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    Timeout current has 6450 flow
2019-10-02 00:35:15 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 6496 flow
2019-10-02 00:35:20 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    Timeout current has 6500 flow
2019-10-02 00:35:20 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    Timeout current has 6500 flow
2019-10-02 00:35:20 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    Timeout current has 6500 flow
2019-10-02 00:35:20 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    Timeout current has 6500 flow
2019-10-02 00:35:21 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    Timeout current has 6500 flow
2019-10-02 00:36:27 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 6580 flow
2019-10-02 00:36:27 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 6580 flow
2019-10-02 00:40:29 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    Timeout current has 6750 flow
2019-10-02 00:42:14 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 6853 flow
2019-10-02 00:42:17 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 6869 flow
2019-10-02 00:42:19 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 6871 flow
2019-10-02 00:42:24 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 6875 flow
2019-10-02 00:42:24 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 6876 flow
2019-10-02 00:42:24 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 6880 flow
2019-10-02 00:42:24 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 6881 flow
2019-10-02 00:42:24 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 6881 flow
2019-10-02 00:42:25 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 6882 flow
2019-10-02 00:42:25 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 6881 flow
2019-10-02 00:42:25 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 6882 flow
2019-10-02 00:42:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 6882 flow
2019-10-02 00:42:32 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 6891 flow
2019-10-02 00:43:58 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 6953 flow
2019-10-02 00:43:58 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 6953 flow
2019-10-02 00:47:01 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    Timeout current has 7100 flow
2019-10-02 00:47:01 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    Timeout current has 7100 flow
2019-10-02 00:49:10 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 7230 flow
2019-10-02 00:49:10 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 7232 flow
2019-10-02 00:51:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 7314 flow
2019-10-02 00:51:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 7316 flow
2019-10-02 00:51:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 7317 flow
2019-10-02 00:51:06 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 7323 flow
2019-10-02 00:51:06 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 7323 flow
2019-10-02 00:51:19 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 7341 flow
2019-10-02 00:51:22 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 7341 flow
2019-10-02 00:51:22 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 7341 flow
2019-10-02 00:51:30 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    Timeout current has 7350 flow
2019-10-02 00:54:37 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 7497 flow
2019-10-02 00:54:37 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 7497 flow
2019-10-02 00:54:41 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    Timeout current has 7500 flow
2019-10-02 00:54:41 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    Timeout current has 7500 flow
2019-10-02 00:55:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 7525 flow
2019-10-02 00:55:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 7525 flow
2019-10-02 00:55:09 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 7528 flow
2019-10-02 00:55:09 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 7528 flow
2019-10-02 00:55:53 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 7570 flow
2019-10-02 00:55:53 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 7570 flow
2019-10-02 00:55:54 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 7570 flow
2019-10-02 00:55:54 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 7570 flow
2019-10-02 00:56:56 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 7623 flow
2019-10-02 00:56:56 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 7622 flow
2019-10-02 00:57:25 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    Timeout current has 7650 flow
